2012-01-13,-2000
2011-12-21,5455
2012-01-13,20000000
2012-01-13,50000000
2012-01-09,15000000
2012-01-09,50000000
2011-12-20,1200
2011-11-22,30000000
2011-11-03,20000000
2011-09-13,5000000
2011-09-13,20000000
2011-08-18,10000000
2011-07-26,10000000
2011-06-21,5000000
2011-06-16,1000000
2011-07-27,-1551
2011-07-26,-484
2011-07-26,-5819
2011-07-21,-750
2011-07-20,-380
2011-07-18,-472
2011-07-13,-726
2011-07-13,-3680
2011-07-13,-2010
2011-07-12,-870
2011-07-12,-750
2011-07-11,-5758
2011-07-09,-2745
2011-07-06,-3553
2011-07-06,-4334
2011-06-26,-514
2011-06-17,-902
2011-10-05,-2245
2011-10-05,-2718
2011-09-30,-6000
2011-09-16,-1800
2011-09-09,-2000
2011-09-06,-4900
2011-09-02,-9680
2011-09-01,-8350
2011-08-17,-7716
2011-08-16,-899
2011-08-10,-11220
2011-08-10,-1500
2011-08-10,-2000
2011-08-09,-483
2011-08-08,-850
2011-08-03,-10093
2011-08-03,-1600
2011-08-01,-705
2011-07-29,-792
2011-07-28,-4750
2011-11-15,-11864
2011-11-03,-1420
2011-11-03,-620
2011-11-03,-2000
2011-11-03,-980
2011-11-03,-1100
2011-11-03,-7360
2011-10-26,-30
2011-10-26,-1000
2011-10-26,-1000
2011-10-20,-300
2011-10-20,-2200
2011-10-20,-2000
2011-10-17,-1710
2011-10-17,-987
2011-10-17,-1000
2011-10-17,-11400
2011-10-05,-2660
2011-10-05,-2706
2011-10-05,-2574
2011-12-30,-13728
2011-12-29,-1500
2011-12-29,-2000
2011-12-29,-2000
2011-12-29,-2000
2011-12-26,-1789
2011-12-13,-858
2011-12-13,-1200
2011-12-08,-4709
2011-12-08,-750
2011-11-30,-4000
2011-11-23,-2800
2011-11-23,-1500
2011-11-23,-1200
2011-11-23,-1500
2011-11-23,-1826
2011-11-23,-5209
2011-11-17,-905
2011-11-16,-1000
2011-11-16,-1000
2012-01-12,-800
2012-01-12,-1500
2012-01-12,-11400
2012-01-09,-1500
2012-01-09,-300
2012-01-09,-4750
2012-01-03,-2000
2012-01-03,-3000
2012-01-03,-2000
2012-01-03,-2600
2012-01-03,-1000
2012-01-03,-2000
2012-01-02,-9000
2011-12-31,-1200
2011-12-31,-2000
2011-12-31,-1000
2011-12-31,-3000
2011-12-31,-4278
2011-12-30,-1568
2011-12-30,-399
2012-02-13,-3000
2012-02-10,-1470
2012-02-08,-800
2012-02-08,-1000
2012-02-02,-50000
2012-02-02,-10000
2012-01-31,-900
2012-01-20,-5200
2012-01-15,-500
2012-01-15,-500
2012-01-15,-500
2012-01-14,-5000
2012-01-14,-4000
2012-01-14,-2000
2012-01-13,-2000
2012-01-13,-650
2012-01-13,-530
